"Course ID","Course Title","Credits","Core Code","Subject"
"01:175:306","MODERN FRENCH CINEMA (IN ENGLISH)","3","AHp","Cinema Studies"
"01:175:321","WORLD CINEMA II","3","AHp,CCD,CCO","Cinema Studies"
"01:175:349","CONTEMPORARY GERMAN & EUROPEAN CINEMA","3","AHp,WCd","Cinema Studies"
"01:175:352","HITCHCOCK AND BEYOND","3","AHp","Cinema Studies"
"01:190:205","GREEK CIVILIZATION","3","AHo,AHp,HST","Classics"
"01:190:206","ROMAN CIVILIZATION","3","AHo,AHp,HST","Classics"
"01:190:207","GREEK AND ROMAN MYTHOLOGY","3","AHp","Classics"
"01:190:214","SEXUALITY IN ANCIENT GREECE AND ROME","3","AHp,HST","Classics"
"01:190:215","INTRO TO GREEK AND ROMAN ARCHAEOLOGY","3","AHp,HST","Classics"
"01:195:101","INTRODUCTION TO WORLD LITERATURE","3","AHp","Comparative Literature"
"01:195:135","SHORT FICTION","3","AHp","Comparative Literature"
"01:195:137","THE HAUNTED","3","AHp","Comparative Literature"
"01:195:140","BEING HUMAN","3","AHp","Comparative Literature"
"01:195:201","LITERATURE ACROSS BORDERS","3","AHo,AHp","Comparative Literature"
"01:195:203","MASTERWORKS OF WESTERN LITERATURE","3","AHp,WCd,WCr","Comparative Literature"
"01:195:204","MASTERWORKS OF WORLD LITERATURE","3","AHp,WCd,WCr","Comparative Literature"
"01:195:221","INTRODUCTION TO THE LITERATURES OF THE  MIDDLE EAST","3","AHo,AHp","Comparative Literature"
"01:195:227","TALES OF HORROR","3","AHo,AHp","Comparative Literature"
"01:195:232","WOMEN WRITERS OF SOUTH ASIA","3","AHo,AHp","Comparative Literature"
"01:195:233","UNDERSTANDING THE FRENCH ENLIGHTENMENT","3","AHp,WCd","Comparative Literature"
"01:195:235","DETECTIVE STORIES","3","AHp,WCr","Comparative Literature"
"01:195:240","ANIMALS AND HUMANS","3","AHp","Comparative Literature"
"01:195:243","INTRODUCTION TO THE LITERATURES OF SOUTH ASIA","3","AHo,AHp","Comparative Literature"
"01:195:244","INTRODUCTION TO MYTH","3","AHp","Comparative Literature"
"01:195:246","FAIRY TALES THEN AND NOW","3","AHp,WCd","Comparative Literature"
"01:195:247","PSY FI:  LITERATURE AND PSYCHOANALYSIS","3","AHo,AHp","Comparative Literature"
"01:195:249","MODERN LITERATURES OF SOUTH ASIA","3","AHo,AHp","Comparative Literature"
"01:195:251","MAJOR FRENCH WRITERS IN TRANSLATION","3","AHp,WCd","Comparative Literature"
"01:195:256","INTRODUCING VENICE","3","AHo,AHp","Comparative Literature"
"01:195:260","INTRODUCTION TO CARIBBEAN LITERATURE","3","AHp","Comparative Literature"
"01:195:262","LIFE WRITING IN FRANCE","3","AHp,WCd","Comparative Literature"
"01:195:265","ART AND POWER: VISUAL AND LITERARY      CULTURE OF THE SOVIET CENTURY","3","AHo,AHp","Comparative Literature"
"01:195:270","PAST TODAY","3","AHo,AHp,CCD,CCO","Comparative Literature"
"01:195:272","RUSSIA BETWEEN EMPIRE AND NATION","3","AHp,CCO","Comparative Literature"
"01:195:277","RADICAL MODERNISM AND ANTI-ART","3","AHo,AHp","Comparative Literature"
"01:195:295","LATINO AND CARIBBEAN CULTURAL STUDIES","3","AHp,WCr","Comparative Literature"
"01:195:307","INTRO. TO POSTCOLONIAL LITERATURES & THEORIES","3","AHo,AHp,CCD,CCO","Comparative Literature"
"01:195:311","DOSTOEVSKY","3","AHo,AHp","Comparative Literature"
"01:195:314","GERMAN AND COMPARATIVE LITERATURE","3","AHo,AHp,WCd","Comparative Literature"
"01:195:315","DANTE MEDIEVAL CULT","3","AHo,AHp","Comparative Literature"
"01:195:321","WORLD CINEMA II","3","AHp,CCD,CCO","Comparative Literature"
"01:195:337","LITERATURE AND MEMORY IN THE ARAB WORLD","3","AHo,AHp","Comparative Literature"
"01:195:348","STORIES OF RUSSIAN LIFE: MEMORY, INVENTION, EXPERIENCE","3","AHo,AHp,WCd","Comparative Literature"
"01:195:361","BRAZIL AND THE U.S","3","AHo,AHp","Comparative Literature"
"01:195:363","WOMEN WRITERS OF AFRICA","3","AHp,CCD","Comparative Literature"
"01:195:364","BIG BANG: THE LITERATURE OF CHAOS & ORDER","3","AHo,AHp","Comparative Literature"
"01:195:382","KAFKA AND WORLD LITERATURE","3","AHo,AHp","Comparative Literature"
"01:351:201","INTRODUCTION TO LITERATURE","3","AHp","English - Creative Writing"
"01:351:216","INTRODUCTION TO WORLD LITERATURES IN ENGLISH","3","AHp","English - Creative Writing"
"01:351:240","INTRO DRAMATIC LIT","3","AHp","English - Creative Writing"
"01:351:241","INTRODUCTION TO POETRY","3","AHp","English - Creative Writing"
"01:351:242","INTRODUCTION TO THE NOVEL","3","AHp","English - Creative Writing"
"01:351:265","INTRODUCTION TO THE STUDY OF WOMEN WRITERS","3","AHp","English - Creative Writing"
"01:351:314","DOCUMENTARY FILMMAKING FOR WRITERS","3","AHp","English - Creative Writing"
"01:351:347","LIT & PSYCHOLOGY","3","AHo,AHp","English - Creative Writing"
"01:354:201","INTRODUCTION TO FILM I","3","AHp","English - Film Studies"
"01:354:202","INTRODUCTION TO FILM","3","AHp","English - Film Studies"
"01:354:210","CLOSE READINGS OF CINEMA","4","AHp","English - Film Studies"
"01:354:321","WORLD CINEMA II","3","AHp,CCD,CCO","English - Film Studies"
"01:358:202","SHAKESPEARE","3","AHp","English - Literature"
"01:358:203","SHAKESPEARE AND FILM","3","AHp","English - Literature"
"01:358:207","WRITING AFTER THE END OF THE WORLD","4","AHp,CCO","English - Literature"
"01:358:213","MAJOR TOPICS AND AUTHORS IN AMERICAN LITERATURE","3","AHp","English - Literature"
"01:358:214","INTRODUCTION TO 20TH-CENTURY LITERATURE","3","AHp","English - Literature"
"01:358:215","INTRODUCTION TO 21ST-CENTURY LITERATURE","3","AHp","English - Literature"
"01:358:216","INTRODUCTION TO WORLD LITERATURES IN ENGLISH","3","AHp","English - Literature"
"01:358:218","BLACK LITERATURE FROM 1930 TO PRESENT","3","AHp","English - Literature"
"01:358:240","INTRODUCTION TO DRAMATIC LITERATURE","3","AHp","English - Literature"
"01:358:241","INTRODUCTION TO POETRY","3","AHp","English - Literature"
"01:358:242","INTRODUCTION TO THE NOVEL","3","AHp","English - Literature"
"01:358:243","INTRODUCTION TO THE SHORT STORY","3","AHp","English - Literature"
"01:358:252","INTRODUCTION TO CHILDREN'S LITERATURE","3","AHp","English - Literature"
"01:358:253","INTRODUCTION TO CRIME FICTION","3","AHp","English - Literature"
"01:358:254","INTRODUCTION TO SCIENCE FICTION","3","AHp","English - Literature"
"01:358:256","INTRODUCTION TO THE GRAPHIC NOVEL","3","AHp","English - Literature"
"01:358:261","INTRODUCTION TO THE STUDY OF WOMEN WRITERS","3","AHp","English - Literature"
"01:358:275","THE CULTURAL HISTORY OF NOW","3","AHp,CCO","English - Literature"
"01:359:201","PRINCIPLES OF LITERARY STUDY","3","AHp,WCd","English - Theories and Methods"
"01:359:202","PRINCIPLES OF LITERARY STUDY: PROSE","3","AHp,WCd","English - Theories and Methods"
"01:359:207","DATA AND CULTURE","3","AHp,CCO","English - Theories and Methods"
"01:359:209","INTRODUCTION TO HEALTH, MEDICINE, AND   LITERATURE","3","AHp,WCr","English - Theories and Methods"
"01:360:349","CONTEMPORARY GERMAN AND EUROPEAN CINEMA","3","AHp,WCd","European Studies"
"01:420:160","SHORT STORIES OF FRANCE","3","AHp","French"
"01:420:214","ADVANCED FRENCH II: WRITING STYLES","3","AHp,AHq,WCd","French"
"01:420:215","MODERN LITERATURE IN FRENCH","3","AHo,AHp,WCd","French"
"01:420:216","FRENCH LITERATURE FROM THE MIDDLE AGES TO THE ENLIGHTENMENT","3","AHo,AHp,WCd","French"
"01:420:217","MODERN LITERATURE IN FRENCH HONORS","3","AHo,AHp,WCd","French"
"01:420:218","FRENCH LITERATURE FROM THE MIDDLE AGES TO THE ENLIGHTENMENT HONORS","3","AHo,AHp,WCd","French"
"01:420:230","UNDERSTANDING THE FRENCH ENLIGHTENMENT","3","AHp,WCd","French"
"01:420:241","MAJOR FRENCH WRITERS IN TRANSLATION","3","AHp,WCd","French"
"01:420:242","MAJOR FRENCH WRITERS IN TRANSLATION","3","AHp,WCd","French"
"01:420:251","FRANCE AND THE WORLD - THE WORLD IN FRANCE","3","AHp,CCO","French"
"01:420:260","THEATER OF FRANCE","3","AHp,AHq,WCd","French"
"01:420:261","LIFE WRITING IN FRANCE","3","AHp,WCd","French"
"01:420:281","FRENCH AND FRANCOPHONE TEXT(S) AND      IMAGE(S)","3","AHp,WCd,WCr","French"
"01:420:306","MODERN FRENCH CINEMA","3","AHp","French"
"01:470:225","FAIRY TALES THEN AND NOW","3","AHp,WCd","German"
"01:470:227","TALES OF HORROR","3","AHo,AHp","German"
"01:470:247","PSY FI:  LITERATURE AND PSYCHOANALYSIS","3","AHo,AHp","German"
"01:470:275","INTRODUCTION TO GERMAN STUDIES","3","AHp,WCd","German"
"01:470:277","RADICAL MODERNISM AND ANTI-ART","3","AHo,AHp","German"
"01:470:285","ENCHANTED WORLDS","3","AHp,WCd","German"
"01:470:301","INTR LIT&CULT ANALYS","3","AHp,WCd,WCr","German"
"01:470:302","INTR LIT&CULT ANALYS","3","AHp,WCd,WCr","German"
"01:470:303","TOPICS IN GERMAN LITERATURE AND CULTURE","3","AHp,WCd","German"
"01:470:304","GERMAN AND COMPARATIVE LITERATURE","3","AHo,AHp,WCd","German"
"01:470:324","GERMAN THEATER","3","AHp","German"
"01:470:349","CONTEMPORARY GERMAN & EUROPEAN CINEMA","3","AHp,WCd","German"
"01:470:350","NAZI PERIOD IN FILM","3","AHp","German"
"01:470:353","THE NAZI PERIOD IN FILM","3","AHp,WCd","German"
"01:470:354","KAFKA AND WORLD LITERATURE","3","AHo,AHp","German"
"01:470:364","LIT OF CHAOS & ORDER","3","AHo,AHp","German"
"01:510:277","RUSSIA: BETWEEN EMPIRE AND NATION","3","AHp,CCO","History"
"01:560:231","ITALIAN CULTURE","3","AHo,AHp","Italian"
"01:560:232","ITALIAN CULTURE","3","AHo,AHp","Italian"
"01:560:256","INTRODUCING ITALY: CITY BY CITY","3","AHo,AHp","Italian"
"01:560:268","WALKING IN THE CITY","3","AHo,AHp","Italian"
"01:560:290","THE RENAISSANCE AT THE MOVIES AND IN    POPULAR CULTURE","3","AHo,AHp","Italian"
"01:560:315","DANTE MEDIEVAL CULT","3","AHo,AHp","Italian"
"01:560:316","FASCISM AND ITALIAN CULTURE","3","AHo,AHp","Italian"
"01:560:345","CLASSICS OF ITALIAN CINEMA","3","AHo,AHp","Italian"
"01:560:362","WOMEN'S LIVES & LIT","3","AHo,AHp","Italian"
"01:560:391","ITALIAN FOOD CULTURE","3","AHo,AHp","Italian"
"01:563:146","THE BIBLE IN ARAMAIC","3","AHp,HST","Jewish Studies"
"01:563:206","INTRODUCTION TO THE BIBLE II: PROPHETS  AND POETRY","3","AHp,HST","Jewish Studies"
"01:563:220","INTRODUCTION TO THE BIBLE I: TORAH AND  PROSE","3","AHp,HST","Jewish Studies"
"01:563:355","KAFKA AND WORLD LITERATURE","3","AHo,AHp","Jewish Studies"
"01:565:215","A-BOMB LITERATURE & FILM IN JAPAN","3","AHp,CCO","Japanese"
"01:574:220","INTRODUCTION TO KOREAN LITERATURE IN    TRANSLATION","3","AHo,AHp","Korean"
"01:595:270","INTRODUCTION TO CARIBBEAN LITERATURE","3","AHp","Latino and Hispanic Caribbean Studies"
"01:595:295","LAT/CARIB CULT STDYS","3","AHp,WCr","Latino and Hispanic Caribbean Studies"
"01:685:204","CROSSROADS: CLASSICAL LITERATURES OF AFRICA, THE MIDDLE EAST AND SOUTH ASIA","3","AHo,AHp","Middle Eastern and Islamic Studies"
"01:685:221","INTRODUCTION TO THE LITERATURES OF THE MIDDLE EAST","3","AHo,AHp","Middle Eastern and Islamic Studies"
"01:685:323","MIDDLE EASTERN FOLKLORE AND MYTH","3","AHo,AHp","Middle Eastern and Islamic Studies"
"01:685:324","WOMEN WRITERS OF THE ARAB WORLD","3","AHp,CCD","Middle Eastern and Islamic Studies"
"01:685:347","LITERATURE AND MEMORY IN THE ARAB WORLD","3","AHo,AHp","Middle Eastern and Islamic Studies"
"01:730:263","PHILOSOPHY&THE ARTS","3","AHo,AHp","Philosophy"
"01:730:368","HINDU PHILOSOPHY","3","AHo,AHp,HST","Philosophy"
"01:810:330","LIT & CULT BRAZIL","3","AHp","Portuguese"
"01:810:361","BRAZIL AND THE U.S.: COMPARATIVE APPROACHES","3","AHo,AHp","Portuguese"
"01:840:123","THE BIBLE IN ARAMAIC","3","AHp,HST","Religion"
"01:840:132","RELIGION AND THE ARTS","3","AHp","Religion"
"01:840:201","INTRODUCTION TO THE BIBLE I: TORAH AND  PROSE","3","AHp,HST","Religion"
"01:840:206","INTRODUCTION TO THE BIBLE II:PROPHETS & POETRY","3","AHp,HST","Religion"
"01:840:211","RELIGION IN ASIA","3","AHo,AHp,HST","Religion"
"01:840:233","RELIGION & MUSIC","3","AHp","Religion"
"01:840:324","CHINESE RELIGIONS","3","AHo,AHp","Religion"
"01:840:368","HINDU PHILOSOPHY","3","AHo,AHp,HST","Religion"
"01:840:377","ISLAM AND AFRICAN LITERATURE","3","AHo,AHp","Religion"
"01:840:378","JAINISM","3","AHp,WCr","Religion"
"01:860:259","INRODUCTION TO 19TH CENTURY RUSSIAN LITERATURE","3","AHp","Russian"
"01:860:260","INTRODUCTION TO 20TH CENTURY RUSSIAN LITERATURE","3","AHp","Russian"
"01:860:268","ART AND POWER: THE VISUAL AND LITERARY  CULTURE OF THE SOVIET CENTURY","3","AHo,AHp","Russian"
"01:860:272","RUSSIA: BETWEEN EMPIRE AND NATION","3","AHp,CCO","Russian"
"01:860:322","LOVE & DEATH IN THE RUSSIAN SHORT STORY","3","AHo,AHp,WCd","Russian"
"01:860:330","DOSTOEVSKY","3","AHo,AHp","Russian"
"01:860:331","TOLSTOY","3","AHo,AHp,WCd","Russian"
"01:860:348","STORIES OF RUSSIAN LIFE: MEMORY,        INVENTION, EXPERIENCE","3","AHo,AHp,WCd","Russian"
"01:940:215","INTRODUCTION TO HISPANIC LITERATURE","3","AHp,AHq","Spanish"
"01:940:270","INTRODUCTION TO CARIBBEAN LITERATURE","3","AHp","Spanish"
"01:940:342","WOM WRTS HISP WORLD","3","AHp","Spanish"
"01:988:202","GENDER, CULTURE, AND REPRESENTATION","3","AHo,AHp","Women's, Gender, and Sexuality Studies"
"01:988:232","WOMEN WRITERS OF SOUTH ASIA","3","AHo,AHp","Women's, Gender, and Sexuality Studies"
"01:988:265","INTRO WOMEN WRITERS","3","AHp","Women's, Gender, and Sexuality Studies"
"01:988:315","WOMEN WRITERS OF THE ARAB WORLD","3","AHp,CCD","Women's, Gender, and Sexuality Studies"
